0.0624,0.0928
0.1504,0.3296
0.3440,0.4640
0.4928,0.6016
0.6272,0.7440
0.7680,0.9440
0.9776,1.0912
1.1088,1.1680
1.1920,1.2944
1.3216,1.3664
1.4080,1.4688
1.5008,1.5520
1.5856,1.6624
1.6896,1.7488
1.7792,1.8992
1.9424,1.9840
2.0416,2.1344
2.1712,2.2240
2.9696,3.0256
3.0752,3.1136
3.2960,3.3456
3.3968,3.4224
3.5168,3.5616
3.6176,3.6496
3.9536,4.0048
4.2560,4.3296
4.3600,4.4192
4.5024,4.5408
4.6192,4.7184
4.7440,4.8080
4.9536,4.9904
5.0496,5.0832
5.1408,5.1904
5.2448,5.2816
5.3216,5.3632
5.4112,5.4960
5.5296,5.5808
5.6240,5.6544
5.7056,5.7568
5.7920,5.8256
5.8752,5.9152
5.9664,5.9968
