0.082,0.102
0.176,0.334
0.362,0.448
0.518,0.606
0.648,0.686
0.698,0.754
0.784,0.898
0.910,0.954
1.002,1.046
1.060,1.104
1.140,1.176
1.212,1.306
1.334,1.372
1.430,1.490
1.532,1.566
1.598,1.676
1.728,1.754
1.802,1.918
1.956,1.996
2.078,2.144
2.198,2.232
2.986,3.032
3.100,3.128
3.282,3.360
3.408,3.422
3.548,3.578
3.634,3.650
3.972,4.016
4.130,4.142
4.256,4.338
4.396,4.428
4.520,4.552
4.648,4.660
4.682,4.744
4.774,4.786
4.798,4.820
4.870,4.902
4.978,5.000
5.060,5.092
5.164,5.204
5.268,5.290
5.344,5.370
5.430,5.504
5.554,5.586
5.646,5.666
5.728,5.758
5.802,5.836
5.896,5.924
5.982,6.010
